DRDC 3.5,LIST #,PART NAME,REF,NOTE,PER BUILD,BUILDS,TOTAL,,,,,,,,,,,,,,,,,
GPS,29,SEQURE M10-18,GEP-M1025 Series GPS Module - GEPRC,M10-18,1,15,15,,,,,,,,,,,,,,,,,
MOTORS,23,GEPRC SPEEDX2 2809 1280KV Motor,GEPRC SPEEDX2 2809 1280KV Motor,2107-1960-KV 4 per vehicle,4,15,60,,,,,,,,,,,,,,,,,
PROPS,34,HQ 7.5 x 3.7 x 3,https://geprc.com/product/hqprop-7-5x3-7x3-propeller/,4 per vehicle,8,15,120,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,GEPRC 868MHz/915MHz 2.4G Tri-Band Stick Antenna,GEPRC 868MHz/915MHz 2.4G Tri-Band Stick Antenna,SMA,2,15,30,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,GEPRC Momoda2 5.8G antenna,GEPRC Momoda2 5.8G antenna,RHCP / SMA 170,2,15,30,,,,,,,,,,,,,,,,,
ANTENNA GROUND,22,GEPRC SOMA 5.8G Directional Flat-Panel Antenna,GEPRC SOMA 5.8G Directional Flat-Panel Antenna,VRX ANT,1,15,15,,,,,,,,,,,,,,,,,
BAT AIR,25,GEPRC Storm 6S 3300mAh 95C Lipo Battery,GEPRC Storm 6S 3300mAh 95C Lipo Battery,,6,15,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DRDC 10,,,,,,,,,,,,,,,,,,,,,,,,
FRAME,11,GEP-EF10 Frame,https://geprc.com/product/gep-ef10-frame/,Extra qty for replacement parts.,1,15,15,,,,,,,,,,,,,,,,,
STACK,16,GEPRC TAKER H743 BT 32Bit 65A Stack,GEPRC TAKER H743 BT 32Bit 65A Stack,BF & APM,1,15,15,,,,,,,,,,,,,,,,,
EXTRA FC,14,TAKER H743 BT Flight Controller,TAKER H743 BT Flight Controller - GEPRC,,1,15,15,,,,,,,,,,,,,,,,,
 8S MODE ESC,15,GEPRC TAKER H65_8S_32Bit 65A 4IN1 ESC,https://geprc.com/product/geprc-taker-h65_8s_32bit-65a-4in1-esc/,8S ESC,1,15,15,,,,,,,,,,,,,,,,,
RX,21,GEPRC ELRS DUAL 915M PA500 Diversity Receiver,GEPRC ELRS DUAL 915M PA500 Diversity Receiver,,2,15,30,,,,,,,,,,,,,,,,,
VTX,17,GEPRC MATEN 5.8G 2.5W VTX,GEPRC MATEN 5.8G 2.5W VTX,MCCX,1,15,15,,,,,,,,,,,,,,,,,
CAM1,19,Axisflying 640*512 Thermal Imaging Camera,https://www.axisflying.com/products/axisflying-high-resolution-256192-384288-640512-thermal-imaging-camera-for-fpv-drone?VariantsId=10365,LWIR,0.5,15,10,,,,,,,,,,,,,,,,,
CAM,18,CaddxFPV Gazer Analog Camera,CaddxFPV Gazer Analog Camera,DAY/NIGHT MODE,1,15,15,,,,,,,,,,,,,,,,,
GPS,29,GEP-M1025 Series GPS Module,GEP-M1025 Series GPS Module - GEPRC,M1025 (WHITE),1,15,15,,,,,,,,,,,,,,,,,
MOTORS,23,4pcs AxisFlying AE3115 3115 900KV Brushless Motor 3-6S LIPO,4pcs AxisFlying AE3115 3115 900KV Brushless Motor 3-6S LIPO for FPV Freestyle 9inch 10inch Long Range Cinelifter Drones RC Mode - AliExpress,4 per vehicle,4,15,60,,,,,,,,,,,,,,,,,
PROPS,34,Gemfan 1050w-3 prop,https://www.gemfanhobby.com/goods/2741831,4 per vehicle,8,15,120,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,GEPRC 868MHz/915MHz 2.4G Tri-Band Stick Antenna,GEPRC 868MHz/915MHz 2.4G Tri-Band Stick Antenna,SMA,2,15,30,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,GEPRC Momoda2 5.8G antenna,GEPRC Momoda2 5.8G antenna,RHCP / SMA 170,2,15,30,,,,,,,,,,,,,,,,,
BAT AIR,24,GEPRC Storm IRT21700-40T 6S2P 8000mAh Li-Ion Battery,https://geprc.com/product/geprc-storm-irt21700-40t-6s2p-8000mah-li-ion-battery/,,6,15,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DRDC 13,,,,,,,,,,,,,,,,,,,,,,,,
FRAME,11,APEXEVO 570mm -670mm X-CLASS 13,https://www.aliexpress.com/p/tesla-landing/index.html?scenario=c_ppc_item_bridge&productId=1005009420821463&_immersiveMode=true&withMainCard=true&src=google&aff_platform=true&isdl=y&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005009420821463&ds_e_product_merchant_id=5590742483&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19215273764&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17178707511&gbraid=0AAAAACbpRIlrQOG_Censwz6X0qbIk6sb-&gclid=Cj0KCQjw58PGBhCkARIsADbDilwis5jbAgzlGckA8eITw40NoqHIvYcjdXr8nBTDeo4isCYjYIoR-iIaAkzLEALw_wcB,Extra qty for replacement parts.,1,15,15,,,,,,,,,,,,,,,,,
STACK,16,BLITZ H7 Pro Combo Set (E80 Pro 4-IN-1 ESC),https://shop.iflight.com/BLITZ-H7-Pro-Combo-Set-E80-Pro-4-IN-1-ESC-Pro2224?search=h7%20pro,Combo 2,1,15,15,,,,,,,,,,,,,,,,,
EXTRA FC,14,TAKER H743 BT Flight Controller,TAKER H743 BT Flight Controller - GEPRC,,1,15,15,,,,,,,,,,,,,,,,,
EXTRA STACK,16,BLITZ H7 Pro Combo Set (E80 single ESC),https://shop.iflight.com/BLITZ-H7-Pro-Combo-Set-E80-single-ESC-Pro2225?search=e80,Combo 1,1,15,15,,,,,,,,,,,,,,,,,
RX,21,GEPRC ELRS DUAL 915M PA500 Diversity Receiver,GEPRC ELRS DUAL 915M PA500 Diversity Receiver,,2,15,30,,,,,,,,,,,,,,,,,
VTX,17,GEPRC MATEN 5.8G 2.5W VTX,GEPRC MATEN 5.8G 2.5W VTX,MCCX,1,15,15,,,,,,,,,,,,,,,,,
VTX SPECIAL,17,FPV Drone Optical Fiber Kit 5km,FPV Drone Optical Fiber Kit Fiber 3km 5km 10km 20km 30km Fibre Optic Image Data Module Optical Communication Anti-Interference - AliExpress,,1,15,15,,,,,,,,,,,,,,,,,
VTX SPECIAL,17,40KM Integrated Optical Fiber Video Transmission Ground Unit Display Remote Control Integrated Link Receiver Remote Control,https://www.aliexpress.com/item/1005009888956786.html?invitationCode=T2tSd21pemY4M2I2d3hqLzh2ZXJmRWZuTVdNV0s2NmJYeFJHVi9TTnN5S2VQemFTZUJrNWVWT0s1MU1hdTAyWg&srcSns=sns_Copy&spreadType=socialShare&social_params=21944330398&bizType=ProductDetail&spreadCode=T2tSd21pemY4M2I2d3hqLzh2ZXJmRWZuTVdNV0s2NmJYeFJHVi9TTnN5S2VQemFTZUJrNWVWT0s1MU1hdTAyWg&aff_fcid=a499c4bb4e594c408792580796e6812f-1758577145511-04658-_mqJIbnJ&tt=MG&aff_fsk=_mqJIbnJ&aff_platform=default&sk=_mqJIbnJ&aff_trace_key=a499c4bb4e594c408792580796e6812f-1758577145511-04658-_mqJIbnJ&shareId=21944330398&businessType=ProductDetail&platform=AE&terminal_id=2e5ada5a42ac4f51a93831198bbb476e&afSmartRedirect=y&gatewayAdapt=4itemAdapt,,0.5,15,10,,,,,,,,,,,,,,,,,
CAM1,19,Axisflying 640*512 Thermal Imaging Camera,https://www.axisflying.com/products/axisflying-high-resolution-256192-384288-640512-thermal-imaging-camera-for-fpv-drone?VariantsId=10365,LWIR,0.5,15,10,,,,,,,,,,,,,,,,,
CAM,18,CaddxFPV Gazer Analog Camera,CaddxFPV Gazer Analog Camera,DAY/NIGHT MODE,1,15,15,,,,,,,,,,,,,,,,,
GPS,29,GEP-M1025 Series GPS Module,GEP-M1025 Series GPS Module - GEPRC,M1025 (WHITE),1,15,15,,,,,,,,,,,,,,,,,
MOTORS,23,XING2 3616 Cinelifter Motor,https://shop.iflight.com/XING2-3616-Cinelifter-Motor-Pro2220?search=taurus&page=2,4 per vehicle,4,15,60,,,,,,,,,,,,,,,,,
MOTORS,23,XING 5215 X CLASS FPV Motor,https://shop.iflight.com/motors-cat88/xing-x5215-x-class-fpv-nextgen-motor-pro857,4 per vehicle,4,15,60,,,,,,,,,,,,,,,,,
PROPS,34,HQ Prop 13X12X3v2 /,https://www.axisflying.com/products/gemfan-prop-1308-13inch-props-for-manta-13-lite-2pcs-one-bag?VariantsId=10362,4 per vehicle,8,15,120,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,GEPRC 868MHz/915MHz 2.4G Tri-Band Stick Antenna,GEPRC 868MHz/915MHz 2.4G Tri-Band Stick Antenna,SMA,2,15,30,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,GEPRC Momoda2 5.8G antenna,GEPRC Momoda2 5.8G antenna,RHCP / SMA 170,2,15,30,,,,,,,,,,,,,,,,,
BAT AIR,26,GEPRC Storm IRT21700-40T 6S2P 8000mAh Li-Ion Battery,https://geprc.com/product/geprc-storm-irt21700-40t-6s2p-8000mah-li-ion-battery/,,6,15,90,,,,,,,,,,,,,,,,,
BAT AIR,27,GNB 8200mah 8S HV - 65C - XT90,https://rotorvillage.ca/gnb-8200mah-8s-hv-65c-xt90/,,6,15,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
COMMON KIT,,,,,,,,,,,,,,,,,,,,,,,,
TX,46,GX12 Dual-Band Gemini-X Radio Controller (M2),GX12 Dual-Band Gemini-X Radio Controller (M2) – RadioMaster RC,,1,15,15,,,,,,,,,,,,,,,,,
BAT TX,26,21700 5000mAh Battery for TX16S and TX12 MKII,21700 5000mAh Battery for TX16S and TX12 MKII – RadioMaster RC,3-4 hrs,2,15,30,,,,,,,,,,,,,,,,,
MONITOR,47,HDZero Monitor,HDZero Monitor,ANALOG + HD,1,15,15,,,,,,,,,,,,,,,,,
GOGGLES,47,HDZero BoxPro,HDZero BoxPro/BoxPro+,Analog + Divimath,1,15,15,,,,,,,,,,,,,,,,,
BAT GROUND,24,GAONENG GNB LiHV 4S 15.2V 1100mAh 60C XT30,GAONENG GNB LiHV 4S 15.2V 1100mAh 60C XT30 LiPo Battery LongRange,XT30 for monitor / gogs,4,15,60,,,,,,,,,,,,,,,,,
BAT CHARGER,51,ToolkitRC Q6AC AC 400W DC 1000W,https://www.aliexpress.com/p/tesla-landing/index.html?scenario=c_ppc_item_bridge&productId=1005008538757013&_immersiveMode=true&withMainCard=true&src=google&aff_platform=true&isdl=y&src=google&albch=shopping&acnt=631-313-3945&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&&albagn=888888&&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005008538757013&ds_e_product_merchant_id=746110878&ds_e_product_country=CA&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19366866438&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=17337458112&gbraid=0AAAAACbpRIkrrEkEpMgY1DfGMxgkg6l6H&gclid=Cj0KCQjw58PGBhCkARIsADbDilySlzzjK8kVDBiz7wq9svyXYOpekayfLM9l_Kn3a5YYnXbB-tD8XDAaArrKEALw_wcB,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,7,Ethix Quad Builder Wire Cable Set,https://rotorvillage.ca/ethix-quad-builder-wire-cable-set/,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,5,Flywoo FPV Quad Tool Kit w/ Multimeter and Soldering Iron,https://rotorvillage.ca/flywoo-fpv-quad-tool-kit-w-multimeter-and-soldering-iron/,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,6,Zip Ties (100pcs) - 3mm x 100MM,https://rotorvillage.ca/zip-ties-100pcs-3mm-x-100mm/,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,5,RVS Black Cat Tool Kit (8pc),https://rotorvillage.ca/rvs-black-cat-tool-kit-8pc/,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,52,VIFLY Short Saver 2 - XT30 & XT60,https://rotorvillage.ca/vifly-short-saver-2-xt30-xt60/,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,3,Speedybee Practice Soldering Board - 4pcs,https://rotorvillage.ca/speedybee-practice-soldering-board-4pcs/,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,5,Ethix Prop Multi Tool v1.5 - White,https://rotorvillage.ca/ethix-prop-multi-tool-1-5/,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,5,StarTech.com 7 Piece Precision Screwdriver Computer Tool,https://www.amazon.ca/dp/B0001NYK16/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&linkCode=gg2&linkId=efd83952f0bf877591d763cec759e3cc&creativeASIN=B0001NYK16&tag=oscar0f7-20&creative=9325&camp=1789&th=1,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,52,Wishiot 2PCS Mini Portable BX100 1-8S Lipo Battery Voltage Tester,https://www.amazon.ca/Wishiot-Portable-Battery-Voltage-Tester/dp/B0B5DV7N86/ref=sr_1_2_sspa?camp=1789&creative=9325&dib=eyJ2IjoiMSJ9.HbxKa-AFWXM6eO-hA9GsQBlIxbFrHI5jBR3IGHfa__qoBy-uoVtv9jmmaZUTf6QX_Qh5XSg6YCdhIj6ahimh1ZqhBaDJn0ABx3UtjUJF1iEjfpCEe1767MGbnU9taCa37gJzaRtPDILFAdTWOOuBbFfTGELB9Bg7z18UCTcXNvTa7M0aBWXOAklqN_slMQtAH6RkT9msnpbdVk3OsEaK-GYyTuQ1VzfZy42gV2l64-ds1U2q5D8V4WNccDU-wGnUF7UybE51Ixkems94Bn6uI5frIgoM2kTxi7nAVDbvW_Q.ofb6sukEEHmlvi0XoymjaODS1Gbr-gNIAkbw4jnSoTY&dib_tag=se&keywords=lipo%2Bchecker&linkCode=gg3&linkId=612c32666f7b2abae1c4c6215aa914cf&qid=1758575656&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,52,"ToolkitRC MC8 XT60 35V 2-8S 32-bit ARM Processor Battery Multi-checker PWM/PPM/SBUS Readout, PWM Output USB-C Fast Charging","ToolkitRC MC8 XT60 35V 2-8S 32-bit ARM Processor Battery Multi-checker PWM/PPM/SBUS Readout, PWM Output USB-C Fast Charging - AliExpress",,1,15,15,,,,,,,,,,,,,,,,,
WORKBENCH,51,Future Flight ToolkitRC P200 V2 AC100W DC200W 65W Mini Desktop Fast Charger IPS LCD Wide-angle Display Type-C Protocol,https://www.aliexpress.com/item/1005009110571656.html?spm=a2g0o.productlist.main.2.2bcfd387mDrtXC&algo_pvid=6981f1b4-3bc7-4704-88c3-9718e1003ff7&algo_exp_id=6981f1b4-3bc7-4704-88c3-9718e1003ff7-1&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%21127.69%2189.38%21%21%21643.92%21450.73%21%402103205217585757559724472e7e39%2112000047951627511%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A655fccfc%3Bm03_new_user%3A-29895&curPageLogUid=C7qspAA3nizk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009110571656%7C_p_origin_prod%3A,,1,15,15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
-----END DRDC LIST-----,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
-----START TEAM LIST-----,,,,,,,,,,,,,,,,-----END DRDC LIST-----,,,,,,,,-----END DRDC LIST-----
,,,,,,,,,,,,,,,,,,,,,,,,
MISC,LIST #,PART NAME,REF,NOTE / REF 2,PER BUILD,BUILDS,TOTAL,,,,,,,,,,,,,,,,,
WORKBENCH,1,Bambu Lab H2S Variant: Laser Full Combo,Bambu Lab H2S | Large Format 3D Printer,Full Combo H1S,1,2,2,,,,,,,,,,,,,,,,,
WORKBENCH,2,Carvera Desktop CNC Machine,https://global.makera.com/products/carvera?variant=44959849808047,Carvera 4th Axis PCB Bundle,1,2,2,,,,,,,,,,,,,,,,,
FILLAMENT,50,TPU for AMS,https://ca.store.bambulab.com/products/tpu-for-ams?id=46779647295728,Any color,10,2,20,,,,,,,,,,,,,,,,,
FILLAMENT,50,Support for PLA/PETG,https://ca.store.bambulab.com/products/support-for-pla-petg,Any color,5,2,10,,,,,,,,,,,,,,,,,
FILLAMENT,50,PLA Tough+,https://ca.store.bambulab.com/products/pla-tough-upgrade,Any color,10,2,20,,,,,,,,,,,,,,,,,
FILLAMENT,50,ABS,https://ca.store.bambulab.com/products/abs-filament,Any color,10,2,20,,,,,,,,,,,,,,,,,
FILLAMENT,50,PC,https://ca.store.bambulab.com/products/pc-filament,,5,2,10,,,,,,,,,,,,,,,,,
FILLAMENT,50,PET-CF,https://ca.store.bambulab.com/products/pet-cf,,5,2,10,,,,,,,,,,,,,,,,,
FILLAMENT,50,ASA Aero,https://ca.store.bambulab.com/products/asa-aero?id=45647640101104,,10,2,20,,,,,,,,,,,,,,,,,
FILLAMENT,50,PETG-CF,https://ca.store.bambulab.com/products/petg-cf,,10,2,20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
400 KM/H QUAD,,,,,,,,,,,,,,,,,,,,,,,,
400K FRAME,11,AOS HS5 Frame Kit,https://shop.iflight.com/drone-frame-cat346/AOS-HS5-Frame-Kit-Pro2258,,2,2,4,,,,,,,,,,,,,,,,,
400K MOTORS,23,Rcinpower AOS Supernova 3220 Motor,https://www.aliexpress.com/item/1005008509870291.html?spm=a2g0o.productlist.main.3.11f73f29CtPfSL&algo_pvid=481427f3-54af-4432-a3eb-cf73ad8642cf&algo_exp_id=481427f3-54af-4432-a3eb-cf73ad8642cf-2&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%21125.32%2193.99%21%21%21630.38%21472.78%21%402101c5a417586345684833611e793e%2112000048795858053%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4be24313%3Bm03_new_user%3A-29895&curPageLogUid=ZF0LAygXzQmt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008509870291%7C_p_origin_prod%3A, 700kv/ 925Kn,8,3,24,,,,,,,,,,,,,,,,,
400K MOTORS,23,Lumenier ZIP V2 2812 Cinematic Motor - 1150KV,https://www.getfpv.com/lumenier-zip-v2-2812-cinematic-motor-1150kv-1300kv.html, 700kv/ 925Kn,8,3,24,,,,,,,,,,,,,,,,,
400K STACK,16,BLITZ H7 Pro Combo Set (E80 Pro 4-IN-1 ESC),https://shop.iflight.com/BLITZ-H7-Pro-Combo-Set-E80-Pro-4-IN-1-ESC-Pro2224?search=h7%20pro,Combo 2,2,2,4,,,,,,,,,,,,,,,,,
400K PROPS,34,5.25x8EP,https://www.apcprop.com/product/5-25x8ep/?v=3e8d115eb4b3,,4,4,16,,,,,,,,,,,,,,,,,
400K PROPS,34,5.25x8E,https://www.apcprop.com/product/5-25x8e/?v=3e8d115eb4b3,,4,4,16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ORQA,,,,,,,,,,,,,,,,,,,,,,,,
,37,6237 MRM1-5 ISM,CONTACT:,,1,5,5,,,,,,,,,,,,,,,,,
,37,6154 MRM1-5 EW,domagoj.cah@orqafpv.com,,1,3,3,,,,,,,,,,,,,,,,,
,37,6141 Orqa MRK-1-8 Kit (disassembled MRK-1-8 drone kit),,,1,5,5,,,,,,,,,,,,,,,,,
,47,6221 GCS-1,,,1,4,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,16,DTK APB,,,1,4,4,,,,,,,,,,,,,,,,,
,47,FPV.One Pilot,,,1,4,4,,,,,,,,,,,,,,,,,
,46,FPV.Ctrl,,,1,4,4,,,,,,,,,,,,,,,,,
,16,H7 Quad,,,1,4,4,,,,,,,,,,,,,,,,,
,16,H7 Wing,,,1,4,4,,,,,,,,,,,,,,,,,
,15,WingDrive,,,1,4,4,,,,,,,,,,,,,,,,,
,15,3030 ESC,,,1,4,4,,,,,,,,,,,,,,,,,
,17,IronGhost AU QS 10W,,,1,4,4,,,,,,,,,,,,,,,,,
,17, IronGhost VTX 4.9-6 10W Wing,,,1,4,4,,,,,,,,,,,,,,,,,
,19,Justice FPV Camera,,,1,4,4,,,,,,,,,,,,,,,,,
,,,,,2,4,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
